Ver. 1.0
d_time double double # 
 0.168181 532.517376 567.563096
 0.213460 533.555213 569.268930
 0.235261 533.166564 570.480680
 0.290288 532.349969 570.844204
 0.343257 532.804991 570.953261
 0.393064 534.341498 571.685979
 0.441694 535.502450 571.905794
 0.523138 537.250736 571.971738
 0.570627 538.475222 576.191524
 0.615732 538.842567 573.957456
 0.655470 538.952770 573.287236
 0.693758 538.985831 573.786171
 0.747593 539.695750 573.935851
 0.820630 540.608725 573.280755
 0.880754 540.882618 573.784227
 0.950304 541.664786 573.935268
 1.000343 541.899436 573.280580
 1.060547 541.269830 573.784174
 1.100718 541.080949 574.635253
 1.150465 541.724285 574.890576
 1.203735 541.217285 574.967173
 1.225667 541.065185 574.990152
 1.280394 541.019556 574.997046
 1.332750 541.705867 575.699114
 1.383300 541.911760 575.909734
 1.404668 541.973528 575.972920
 1.454519 539.892057 575.991876
 1.506060 537.167616 576.697563
 1.563326 532.850282 576.209269
 1.608245 530.855083 576.062781
 1.656137 528.856524 574.618833
 1.708146 527.556956 574.185650
 1.765573 526.467086 573.355694
 1.810403 525.440125 571.706707
 1.832464 525.132037 570.512012
 1.887599 527.139612 570.853604
 1.939642 527.741884 570.956081
 1.990300 528.622566 570.986824
 2.012451 528.886770 571.696048
 2.074434 528.966031 571.908814
 2.120370 528.289809 571.272644
 2.193542 528.086943 571.081793
 2.214746 528.026083 571.024538
 2.263363 527.307824 570.307361
 2.322426 525.692346 570.092208
 2.373004 525.207704 570.027662
 2.417800 523.662310 570.008299
 2.456094 523.198693 570.002490
 2.495677 523.059608 570.000747
 2.547966 520.917881 569.300224
 2.620334 519.575364 569.790067
 2.647015 521.272610 570.637021
 2.697477 521.781783 570.891106
 2.749884 522.634535 570.967332
 2.800744 524.290362 570.990200
 2.822798 526.187110 570.297059
 2.870901 524.656132 570.089118
 2.930526 525.596840 570.026735
 2.980527 527.279053 569.308020
 3.001445 528.483717 568.392406
 3.073609 528.145115 567.417721
 3.132951 526.643534 566.425316
 3.182870 520.593057 566.127595
 3.204704 511.777912 565.338278
 3.251144 507.033371 565.101483
 3.305076 502.810009 564.330445
 3.385743 500.143001 563.399133
 3.445533 501.442901 563.819740
 3.485918 503.932872 563.945922
 3.538107 506.079863 564.683777
 3.588980 508.823960 564.905133
 3.610358 510.347189 564.971540
 3.670731 511.504157 564.991462
 3.710897 511.151247 565.697439
 3.790714 505.445371 565.209231
 3.840379 501.633609 565.762770
 3.921202 499.090081 565.228831
 3.971089 497.627024 564.368649
 4.016139 497.888107 564.110594
 4.052917 498.666433 563.333178
 4.093635 498.199930 563.099953
 4.173139 498.059979 563.029986
 4.217587 497.317993 563.008996
 4.295496 497.795398 562.302698
 4.347534 496.538619 561.390809
 4.398419 496.161585 560.417242
 4.419718 496.048476 559.425172
 4.481985 496.014543 559.127551
 4.550532 494.604362 558.338265
 4.600423 493.481308 555.301478
 4.671987 493.844393 553.690442
 4.752336 492.553317 553.207132
 4.803057 493.565996 553.062140
 4.841938 493.869799 552.318641
 4.881053 496.060941 552.795593
 4.932889 499.518284 552.938678
 5.055089 503.355488 554.381604
 5.134989 504.506647 554.814482
 5.209106 505.551995 554.244344
 5.246747 507.265599 554.073303
 5.286017 509.879681 554.721991
 5.335668 512.763906 554.216597
 5.388630 514.329173 554.064979
 5.449195 514.798752 554.019494
 5.509251 515.639626 554.705849
 5.591117 518.691890 554.211754
 5.674613 522.407569 556.163527
 5.720434 524.922272 556.049058
 5.770339 527.076683 558.814719
 5.815341 527.023005 558.944416
 5.876014 525.606901 558.983325
 5.945449 526.582071 558.294997
 6.016253 528.274622 557.388499
 6.055523 528.782387 556.416549
 6.095976 528.234716 556.824965
 6.148724 527.370414 556.947490
 6.196809 526.411124 557.684247
 6.220554 526.823337 558.605275
 6.268408 526.247001 559.581583
 6.350147 526.774101 560.574475
 6.401156 527.632231 561.572343
 6.422460 527.189669 561.871703
 6.471310 527.056901 562.661511
 6.530396 528.417071 563.598454
 6.579498 528.825122 563.879536
 6.602991 528.947537 563.963861
 6.651289 529.684261 564.689159
 6.702462 529.905279 564.906748
 6.777348 529.971584 565.672025
 6.843710 531.391476 565.901608
 6.883767 532.517443 566.670483
 6.935610 532.855233 566.901145
 6.984293 533.656570 567.670344
 7.007118 535.296972 567.901103
 7.188410 535.089092 567.270331
 7.210531 533.626727 565.681098
 7.257777 533.188018 565.204329
 7.339799 533.056405 565.061299
 7.390722 533.016922 565.718390
 7.413085 532.305076 565.915517
 7.462381 528.591521 566.674656
 7.570772 512.777447 562.702394
 7.663840 508.033231 560.110717
 7.722603 502.409966 557.933214
 7.773829 500.022988 557.279964
 7.818908 497.906895 556.383989
 7.856429 496.572068 556.115196
 7.925618 496.171620 556.034559
 7.998615 500.951489 556.710368
 8.020800 504.485449 556.913111
 8.081102 502.745634 556.973933
 8.127675 499.423688 556.992180
 8.178133 494.227103 555.597653
 8.223192 487.068127 554.479295
 8.248075 482.820436 553.443788
 8.331344 480.146129 553.833137
 8.403549 477.943837 553.949941
 8.464600 480.783153 553.284982
 8.504008 484.434948 553.085494
 8.560770 484.830485 553.025648
 8.606095 485.649146 553.707695
 8.626825 485.894744 553.912309
 8.682637 486.668424 553.973693
 8.762416 488.300528 554.692108
 8.808157 490.890160 553.507632
 8.884743 490.267048 554.552290
 8.938637 487.280113 553.465686
 8.987596 483.584032 553.139706
 9.009475 482.475209 551.641911
 9.059216 484.242564 551.192573
 9.214203 486.872771 551.757772
 9.261335 488.361832 551.227331
 9.313653 486.708549 550.368199
 9.371294 484.812563 549.410459
 9.415912 484.943769 549.123138
 9.442914 485.683131 549.736942
 9.492991 490.104942 550.621083
 9.545990 491.431483 551.586325
 9.617893 491.829445 551.875898
 9.655577 496.848836 553.362770
 9.695560 501.154653 554.508832
 9.748244 504.546398 554.852650
 9.797883 504.863920 555.655795
 9.819766 507.759178 555.896739
 9.869514 510.027755 556.669022
 9.927642 511.408327 557.600707
 10.023472 510.422498 557.880212
 10.061565 508.026748 557.264063
 10.100632 506.608024 557.079219
 10.152884 504.782406 555.623765
 10.203625 504.934722 557.287130
 10.224920 504.980417 557.786139
 10.280529 506.394126 557.935842
 10.333550 508.218239 558.680753
 10.405324 512.265474 559.604226
 10.481369 515.579644 560.581268
 10.535465 517.273894 560.874381
 10.609168 519.182169 560.962314
 10.685397 521.154652 561.688695
 10.765959 522.446396 561.906609
 10.810640 523.533920 559.871981
 10.871284 525.260177 559.261594
 10.940297 526.478054 561.878480
 11.013129 525.443416 561.963544
 11.050942 527.233026 561.989063
 11.090994 523.569906 562.696719
 11.142986 525.270973 562.909016
 11.216245 526.481292 562.972705
