Ver. 1.0					
double	double	double	double	double	double #
224	223	224	226	225	224
224	222	224	226	224	224
224	223	224	226	225	223
224	223	224	226	225	223
232	248	224	226	225	223
238	246	224	226	224	223
248	234	224	226	225	224
265	222	224	226	225	224
261	223	224	226	225	223
267	223	224	226	225	223
295	223	224	226	225	223
319	227	224	226	225	223
342	272	224	226	224	223
352	331	224	226	224	223
360	370	224	226	224	223
360	395	224	225	224	223
355	419	224	225	223	222
349	422	223	225	224	223
352	430	223	225	224	222
349	420	223	225	224	223
345	431	223	225	223	223
329	420	223	225	224	222
302	402	224	226	224	222
287	355	224	226	224	222
279	351	224	226	224	223
276	375	224	226	224	223
276	369	224	226	223	223
252	344	224	226	224	223
224	348	224	226	224	222
224	314	224	225	224	223
224	316	224	226	224	223
224	303	224	226	225	223
224	312	224	226	224	223
236	325	224	226	224	223
241	348	224	225	224	223
232	348	224	225	224	223
224	343	224	226	224	223
224	350	224	226	224	222
224	349	224	226	224	223
224	342	224	226	224	223
224	342	224	226	224	223
224	335	224	226	224	223
224	343	223	226	224	222
224	349	224	226	224	223
224	357	224	226	224	223
224	369	224	225	224	223
223	362	224	226	224	223
224	368	224	225	224	222
226	368	223	226	224	223
246	368	224	225	224	223
262	372	224	225	224	223
279	371	224	225	224	223
296	379	224	225	224	223
311	382	224	225	223	223
311	385	224	225	224	223
316	355	224	226	224	222
318	336	224	226	224	223
324	336	224	226	224	223
340	329	224	226	224	224
351	319	224	226	224	224
378	325	224	226	224	222
397	331	224	226	224	223
419	339	224	225	224	223
459	351	224	226	224	222
470	357	224	226	224	223
481	368	224	225	224	223
494	367	224	225	223	223
511	373	224	225	224	223
526	394	224	225	224	222
534	383	224	226	224	222
532	386	224	226	224	222
528	378	224	226	223	223
523	373	224	226	223	223
520	384	224	225	224	223
522	387	224	226	224	223
535	358	224	226	224	223
525	345	224	226	224	223
534	337	224	226	223	223
532	324	224	226	224	223
523	318	224	226	224	223
531	322	224	226	224	223
529	332	224	226	224	222
527	332	224	226	224	223
524	319	224	226	224	223
536	307	224	226	224	223
548	293	224	226	224	223
542	276	224	226	224	223
534	268	224	226	224	224
511	262	224	226	224	223
513	250	224	226	224	223
541	239	224	226	225	224
546	235	224	226	225	223
540	242	224	226	225	224
492	244	224	226	224	223
490	242	224	226	225	223
495	234	224	226	225	224
497	236	224	226	225	223
473	237	224	226	224	223
447	244	224	226	225	223
451	259	224	226	224	223
445	259	224	226	224	223
446	260	224	226	225	223
465	261	224	226	224	223
466	265	224	226	224	223
460	261	224	226	224	223
455	255	224	226	224	224
452	244	224	226	225	223
455	240	224	226	225	223
452	237	224	226	225	224
446	266	224	226	225	223
445	229	224	226	225	223
437	242	224	226	224	224
445	246	224	226	224	222
437	245	224	226	224	223
437	244	224	226	225	223
396	247	224	226	224	223
363	253	224	226	225	223
299	264	224	226	224	224
250	268	224	226	224	223
224	269	224	226	224	223
238	265	224	226	224	223
236	261	224	226	225	223
234	266	224	226	225	223
224	270	224	226	224	223
224	275	224	226	224	224
224	282	224	226	224	223
224	277	224	226	224	223
224	274	224	226	225	223
224	292	224	226	224	222
224	330	224	225	224	222
225	346	224	225	224	223
233	344	224	226	224	223
241	346	224	226	224	223
272	343	224	226	224	222
305	336	224	226	224	223
351	324	224	226	224	223
358	314	224	226	224	223
374	327	224	226	224	223
401	316	224	226	224	223
409	338	224	226	224	223
428	321	224	226	224	223
439	317	224	226	224	222
444	319	224	226	224	223
453	284	224	226	224	224
465	258	224	226	224	223
478	259	224	226	224	224
495	258	224	226	224	223
514	258	224	226	224	223
531	265	224	226	225	223
542	270	224	226	224	224
548	260	224	226	224	222
552	275	224	226	224	223
562	260	224	226	225	223
568	253	224	226	225	223
556	253	224	226	225	223
535	238	224	226	224	224
527	240	224	226	225	225
543	230	224	226	225	224
531	228	224	226	225	223
534	227	224	226	225	223
544	231	224	226	224	224
549	239	224	226	225	223
540	245	224	226	224	223
546	268	224	226	225	225
537	264	224	226	224	223
517	258	224	226	225	223
520	258	224	226	225	223
555	272	224	226	225	223
567	268	224	226	224	222
558	272	224	226	225	223
564	261	224	226	224	223
546	275	224	226	224	224
533	279	224	226	224	223
526	232	224	226	225	223
539	223	224	226	225	223
528	223	224	226	225	223
479	223	224	226	224	224
445	223	225	226	225	223
377	223	224	226	225	223
292	224	224	226	225	223
234	223	224	226	225	223
223	223	224	226	225	224
224	223	224	226	225	224
224	222	224	226	224	224
224	223	224	226	225	224
224	223	224	226	225	224
224	223	225	226	225	224
224	223	224	227	225	223
224	222	224	226	224	224
224	222	224	226	225	224
224	223	224	226	224	223
223	223	224	226	225	223
224	223	224	226	225	223
223	223	224	226	225	223
224	222	224	226	225	224
224	223	225	226	225	223
224	223	224	226	224	224
224	223	224	226	225	223
224	223	224	226	225	223
223	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	224
224	223	224	226	225	224
224	223	224	226	225	224
224	223	224	226	225	224
224	223	224	226	225	223
224	223	224	225	225	223
224	222	224	226	224	224
224	223	224	226	225	224
224	223	224	226	224	224
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	224
224	223	224	226	225	223
224	224	224	226	225	224
224	223	224	226	225	224
224	223	224	226	224	223
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	224	224
